4K高清,#genre#
黑龙江卫视,http://223.110.241.137:6610/gitv/live1/G_HEILONGJIANG-CQ/G_HEILONGJIANG-CQ/1.m3u8
吉林卫视,http://223.110.241.137:6610/gitv/live1/G_JILIN-CQ/G_JILIN-CQ/1.m3u8
云南卫视,http://223.110.241.137:6610/gitv/live1/G_YUNNAN-HQ/G_YUNNAN-HQ/1.m3u8
贵州卫视,http://223.110.241.137:6610/gitv/live1/G_GUIZHOU-HQ/G_GUIZHOU-HQ/1.m3u8
四川卫视,http://223.110.241.137:6610/gitv/live1/G_SICHUAN-CQ/G_SICHUAN-CQ/1.m3u8
辽宁卫视,http://223.110.241.137:6610/gitv/live1/G_LIAONING-CQ/G_LIAONING-CQ/1.m3u8
广东卫视,http://223.110.241.137:6610/gitv/live1/G_GUANGDONG-CQ/G_GUANGDONG-CQ/1.m3u8
深圳卫视,http://223.110.241.137:6610/gitv/live1/G_SHENZHEN-CQ/G_SHENZHEN-CQ/1.m3u8
山东卫视,http://223.110.241.137:6610/gitv/live1/G_SHANDONG-CQ/G_SHANDONG-CQ/1.m3u8
安徽卫视,http://223.110.241.137:6610/gitv/live1/G_ANHUI-CQ/G_ANHUI-CQ/1.m3u8
河南卫视,http://223.110.241.137:6610/gitv/live1/G_HENAN-CQ/G_HENAN-CQ/1.m3u8
湖北卫视,http://223.110.241.137:6610/gitv/live1/G_HUBEI-CQ/G_HUBEI-CQ/1.m3u8
湖南卫视,http://223.110.241.137:6610/gitv/live1/G_HUNAN-CQ/G_HUNAN-CQ/1.m3u8
江西卫视,http://223.110.241.137:6610/gitv/live1/G_JIANGXI-CQ/G_JIANGXI-CQ/1.m3u8
江苏卫视,http://223.110.241.137:6610/gitv/live1/G_JIANGSU-CQ/G_JIANGSU-CQ/1.m3u8
浙江卫视,http://223.110.241.137:6610/gitv/live1/G_ZHEJIANG-CQ/G_ZHEJIANG-CQ/1.m3u8
